READ SERR 1
@_compps_qdp_tmp.pco
!
1.00578973E-2 5.78972722E-5 1.40491245E-8
1.0174362E-2 5.85676898E-5 1.4367437E-8
1.02921762E-2 5.92458709E-5 1.46928567E-8
1.04113538E-2 5.99319064E-5 1.50255364E-8
1.05319116E-2 6.06258873E-5 1.53656341E-8
1.06538655E-2 6.13278971E-5 1.57133115E-8
1.07772313E-2 6.20380451E-5 1.60687357E-8
1.09020257E-2 6.27564077E-5 1.64320699E-8
1.10282646E-2 6.3483094E-5 1.68034902E-8
1.11559667E-2 6.42181985E-5 1.71831687E-8
1.12851467E-2 6.49618087E-5 1.75712866E-8
1.14158224E-2 6.57140263E-5 1.79680253E-8
1.15480116E-2 6.64749605E-5 1.83735729E-8
1.16817309E-2 6.72447059E-5 1.8788116E-8
1.18169989E-2 6.80233643E-5 1.92118517E-8
1.19538335E-2 6.88110376E-5 1.96449772E-8
1.20922523E-2 6.96078278E-5 2.00876968E-8
1.22322738E-2 7.04138511E-5 2.05402131E-8
1.23739168E-2 7.12292021E-5 2.10027409E-8
1.25171999E-2 7.20539974E-5 2.14754934E-8
1.26621425E-2 7.2888346E-5 2.19586891E-8
1.28087634E-2 7.37323498E-5 2.24525536E-8
1.29570812E-2 7.45861325E-5 2.2957316E-8
1.31071173E-2 7.54498033E-5 2.34732092E-8
1.32588912E-2 7.63234711E-5 2.40004692E-8
1.34124216E-2 7.72072526E-5 2.45393394E-8
1.35677299E-2 7.81012714E-5 2.50900669E-8
1.37248375E-2 7.90056365E-5 2.56529038E-8
1.3883763E-2 7.9920479E-5 2.62281059E-8
1.40445298E-2 8.08459154E-5 2.68159397E-8
1.42071573E-2 8.17820692E-5 2.74166698E-8
1.43716689E-2 8.27290642E-5 2.80305681E-8
1.45380851E-2 8.36870167E-5 2.86579169E-8
1.47064282E-2 8.46560652E-5 2.92989988E-8
1.48767205E-2 8.56363404E-5 2.9954105E-8
1.50489844E-2 8.66279588E-5 3.06235286E-8
1.52232433E-2 8.7631066E-5 3.13075716E-8
1.53995203E-2 8.86457856E-5 3.20065432E-8
1.55778388E-2 8.96722559E-5 3.27207594E-8
1.5758222E-2 9.0710615E-5 3.3450533E-8
1.59406923E-2 9.17609941E-5 3.41961979E-8
1.61252767E-2 9.28235313E-5 3.49580809E-8
