READ SERR 1
@_compps_qdp_tmp.pco
!
1.00578973E-2 5.78972722E-5 1.72223613E-9
1.0174362E-2 5.85676898E-5 1.76104642E-9
1.02921762E-2 5.92458709E-5 1.80071602E-9
1.04113538E-2 5.99319064E-5 1.84126348E-9
1.05319116E-2 6.06258873E-5 1.88270777E-9
1.06538655E-2 6.13278971E-5 1.92506788E-9
1.07772313E-2 6.20380451E-5 1.96836347E-9
1.09020257E-2 6.27564077E-5 2.01261496E-9
1.10282646E-2 6.3483094E-5 2.05784234E-9
1.11559667E-2 6.42181985E-5 2.10406692E-9
1.12851467E-2 6.49618087E-5 2.1513098E-9
1.14158224E-2 6.57140263E-5 2.19959251E-9
1.15480116E-2 6.64749605E-5 2.24893748E-9
1.16817309E-2 6.72447059E-5 2.29936736E-9
1.18169989E-2 6.80233643E-5 2.35090503E-9
1.19538335E-2 6.88110376E-5 2.40357445E-9
1.20922523E-2 6.96078278E-5 2.45739917E-9
1.22322738E-2 7.04138511E-5 2.51240384E-9
1.23739168E-2 7.12292021E-5 2.56861377E-9
1.25171999E-2 7.20539974E-5 2.62605426E-9
1.26621425E-2 7.2888346E-5 2.68475131E-9
1.28087634E-2 7.37323498E-5 2.74473155E-9
1.29570812E-2 7.45861325E-5 2.80602208E-9
1.31071173E-2 7.54498033E-5 2.86865043E-9
1.32588912E-2 7.63234711E-5 2.93264457E-9
1.34124216E-2 7.72072526E-5 2.9980336E-9
1.35677299E-2 7.81012714E-5 3.06484615E-9
1.37248375E-2 7.90056365E-5 3.13311266E-9
1.3883763E-2 7.9920479E-5 3.20286286E-9
1.40445298E-2 8.08459154E-5 3.2741283E-9
1.42071573E-2 8.17820692E-5 3.34694028E-9
1.43716689E-2 8.27290642E-5 3.42133122E-9
1.45380851E-2 8.36870167E-5 3.49733353E-9
1.47064282E-2 8.46560652E-5 3.5749812E-9
1.48767205E-2 8.56363404E-5 3.65430797E-9
1.50489844E-2 8.66279588E-5 3.73534892E-9
1.52232433E-2 8.7631066E-5 3.81813958E-9
1.53995203E-2 8.86457856E-5 3.90271548E-9
1.55778388E-2 8.96722559E-5 3.98911437E-9
1.5758222E-2 9.0710615E-5 4.07737355E-9
1.59406923E-2 9.17609941E-5 4.16753076E-9
1.61252767E-2 9.28235313E-5 4.25962554E-9
